 -135.837    1.000   91.000   64.347   65.000     .634    1.000   67.394   26.000     .617
 -143.037  167.000  104.000   73.539  115.000     .606    2.000   86.541   25.000     .513
 -147.475    1.000   97.000   68.589   85.000     .603    3.000  117.215   27.000     .838
 -147.250  219.000   98.000   69.296  110.000     .622    4.000  143.582   23.000     .618
 -133.738  239.000   21.000   14.849   66.000     .649    5.000  160.973   26.000     .649
 -146.439  284.000   79.000   55.861  115.000     .663    6.000  178.534   25.000    1.369
 -143.878  165.000   94.000   66.468  102.000     .748    7.000  210.940   25.000    1.595
 -152.966  263.000  123.000   86.974  103.000     .760    8.000  243.717   28.000    2.444
 -140.694  172.000   79.000   55.861   89.000     .841    9.000  273.457   27.000    5.978
 -141.639   44.000   85.000   60.104   85.000     .770   10.000  362.382   28.000    9.933
