 -8.03905786  1.  39. -53.3854041  4.83069846  17.  1336.12 1
 -6.87625047  1.  39. -97.4951149  17.9806946  49.  958.731 1
 -7.44048933  2.  39.  124.8901 -51.779286  5.  1010.21 1
 -7.74664034  2.  39. -92.0448667  61.0806951  27.  881.857 1
