          41.000         111.000          21.000         101.000          14.849          71.418          81.000         161.000
          11.000         211.000          21.000         151.000          14.849         106.773          51.000         111.000
           1.000         121.000          31.000         121.000          21.920          85.560          41.000          81.000
          61.000         191.000          31.000         131.000          21.920          92.631          51.000         101.000
         161.000         271.000          41.000         121.000          28.991          85.560          71.000         141.000
         101.000         131.000          21.000          51.000          14.849          36.062          51.000         101.000
         191.000         331.000          31.000         121.000          21.920          85.560          71.000         131.000
           1.000         371.000          21.000         161.000          14.849         113.844          91.000         161.000
         241.000         251.000          11.000          11.000           7.778           7.778          81.000         131.000
         141.000         391.000          41.000         131.000          28.991          92.631          51.000         131.000
         151.000         311.000          21.000         121.000          14.849          85.560          51.000          91.000
           1.000         191.000           1.000         201.000            .707         142.128          71.000         121.000
          81.000          81.000           1.000           1.000            .707            .707          81.000         111.000
          91.000         231.000          21.000         151.000          14.849         106.773          71.000         121.000
           1.000         221.000          11.000         291.000           7.778         205.768          81.000         131.000
