           1.000         181.000          11.000         181.000           7.778         127.986          51.000         111.000
           1.000         171.000          41.000         271.000          28.991         191.626          61.000         191.000
           1.000         251.000          11.000         181.000           7.778         127.986          51.000         141.000
         151.000         241.000          31.000         101.000          21.920          71.418          31.000          51.000
           1.000         201.000          51.000         171.000          36.062         120.915          61.000         121.000
         151.000         251.000          51.000         121.000          36.062          85.560          31.000          81.000
           1.000         191.000          31.000         141.000          21.920          99.702          61.000         111.000
         301.000         341.000          11.000          61.000           7.778          43.134          71.000         111.000
         221.000         371.000          21.000          91.000          14.849          64.347          81.000         171.000
           1.000         211.000          21.000         281.000          14.849         198.697          71.000         141.000
         151.000         391.000           1.000         151.000            .707         106.773         101.000         191.000
       10000.000       -1000.000       10000.000       -1000.000        7071.068        -707.107       10000.000       -1000.000
           1.000          81.000          51.000         161.000          36.062         113.844          61.000         101.000
