 -154.577  111.000   89.000   62.933   82.000     .639    1.000   61.477   28.000     .576
 -166.580   23.000  120.000   84.853   94.000     .606    2.000   86.336   30.000     .433
 -143.777    1.000  113.000   79.903   86.000     .612    3.000  108.815   28.000     .489
 -161.341   64.000  129.000   91.217  109.000     .598    4.000  127.612   25.000     .576
 -156.226  189.000   66.000   46.669   89.000     .623    5.000  146.316   30.000     .633
 -153.868  194.000   85.000   60.104   70.000     .635    6.000  164.509   29.000    1.123
 -163.172  209.000   94.000   66.468  110.000     .681    7.000  195.213   30.000    1.213
 -154.258  162.000   43.000   30.406   94.000     .729    8.000  222.846   30.000    2.789
 -161.948  351.000   84.000   59.397   97.000     .803    9.000  272.628   29.000    3.279
 -160.690   65.000    5.000    3.536  107.000     .824   10.000  322.875   30.000    4.490
 -162.166    1.000  157.000  111.016  113.000     .769   11.000  379.342   30.000    8.612
