 -7.92108381  1.  29.  56.2915826 -1.58929196  95.  1037.13 1
 -7.78783267  1.  29.  52.2001596  9.91070768  144.  1492.3 1
 -7.4529061  2.  30. -56.9840622 -10.6393019  248.  961.007 1
 -8.4980759  8.  30. -193.046242  12.5806862  8.  1041.24 1
 -6.98840566  8.  30. -28.2097245  55.3007006  30.  1050.08 1
 -6.97009211  1.  30. -51.0709137  6.49069867  16.  991.428 2
 -7.6426656  1.  30. -54.2813353 -2.05930162  229.  1327.38 2
 -6.69711556  2.  29. -64.3755002 -4.9693025  59.  996.398 2
 -7.1672525  6.  30.  56.5155624  34.320708  157.  1031.03 2
 -7.04553682  8.  30.  21.484636 -51.309295  240.  1132.12 2
 -6.79889541  1.  28. -62.5089759 -.0493023397  62.  1015.17 3
 -6.62574662  2.  28.  72.418355  1.59070945  51.  1411.08 3
 -6.98023674  5.  29. -36.0192561 -29.8393  117.  960.428 3
 -7.02877707  8.  29.  88.0374369 -44.8092892  199.  1149.17 3
 -6.66497585  2.  29. -45.6953209 -16.5493009  11.  1029.84 4
 -6.5537741  2.  29.  69.3721859  11.0307092  122.  1155.97 4
 -6.98095109  5.  28. -92.238978 -21.609305  159.  932.377 4
