 -6.91211582  1.  54.  3.40173706  46.1907034  37.  1392.81 1
 -7.6157117  1.  54. -49.6224881 -22.0393012  40.  874.723 1
 -6.94846741  1.  52. -57.0437913 -6.85930187  38.  1238.08 2
 -6.90311288  1.  52. -52.9971652 -15.4193015  46.  1275.07 2
