 -327.04 -14.59  729.76  1.  .0847384432
 -309.8 -33.7  771.96  2.  .09422156
 -288.37  40.5  446.16  3.  .078286856
 -263.8  42.8  639.36  4.  .0789231286
 -259.61 -52.09  510.16  5.  .125656124
 -249.83  29.7  396.96  6.  .0692303434
 -249.25  8.2  675.36  7.  .0672240551
 -233.75  121.61  473.26  8.  .503515846
 -208.13 -9.  550.46  9.  .0730561007
 -204.05 -51.8  453.46  10.  .146416181
 -203.47  36.41  739.66  11.  .0777878787
 -199.75 -132.89  766.56  12.  .786801502
 -198.11  16.7  409.56  13.  .068185613
 -197.99 -150.09  408.16  14.  .881682577
 -196.95  9.5  701.46  15.  .0687698394
 -195.55 -67.59  446.36  16.  .233205778
 -192.64 -103.  789.96  17.  .542051512
 -181.92 -14.  456.16  18.  .0804262923
 -180.99 -4.8  547.56  19.  .0760063285
 -166.79 -57.59  379.36  20.  .212116991
 -165.74 -37.59  385.26  21.  .127165385
 -165.27 -33.89  446.76  22.  .117296618
 -160.37 -11.  732.96  23.  .0857321868
 -152.45  41.8  371.66  24.  .109578181
 -150.59  5.5  488.56  25.  .0819779417
 -150.12 -82.3  599.76  26.  .4352721
 -146.74 -84.  587.06  27.  .458627121
 -143.96  62.8  510.96  28.  .19444932
 -141.63  1.61  464.56  29.  .0881477071
 -138.01 -15.  490.1  30.  .102087718
 -136.03 -3.8  349.76  31.  .0943711089
 -130.67 -41.2  511.46  32.  .185579045
 -129.4 -40.3  522.96  33.  .183619864
 -122.46  42.4  471.15  34.  .144441358
 -122.23  10.84  447.3  35.  .0976879957
 -118.91 -19.3  390.26  36.  .12817015
 -115.19  117.5  566.05  37.  .682250953
 -113.78 -31.41  304.95  38.  .174474216
 -109.88  48.3  478.76  39.  .189291604
 -109.59 -29.5  356.85  40.  .175397921
 -109.07  6.75  371.05  41.  .111716913
 -106.62 -44.2  440.6  42.  .258666056
 -106.16  28.2  897.76  43.  .131210016
 -105.28 -31.25  448.55  44.  .192674345
 -103.66 -2.8  516.45  45.  .125772825
 -103.59  43.05  560.35  46.  .181112268
 -102.02 -38.6  372.01  47.  .239042944
 -101.09 -52.7  345.95  48.  .332475952
 -92.88 -47.1  485.55  49.  .322298965
 -91.37 -40.  545.01  50.  .282056592
 -89.62  35.05  439.95  51.  .184367994
 -89.44 -53.  581.3  52.  .375098188
 -89.27 -69.  775.21  53.  .491203879
 -88.51 -101.75  380.95  54.  .722461806
 -87.58  69.6  474.46  55.  .374753789
 -86.24 -28.65  459.6  56.  .236234119
 -83.15 -88.39  569.86  57.  .644406465
 -81.12 -165.45  591.1  58.  .957359744
 -79.72 -47.45  467.1  59.  .374919597
 -78.04  15.2  388.86  60.  .166953879
 -77.44  23.25  540.45  61.  .182676047
 -75.12 -.45  634.7  62.  .183840221
 -75.06  21.7  337.51  63.  .186364045
 -70.57  22.25  495.26  64.  .202868922
 -68.95  62.5  465.7  65.  .392880044
 -67.9  7.7  375.95  66.  .196821092
 -67.84 -5.4  386.4  67.  .217966571
 -66.28  26.11  348.46  68.  .230357694
 -65.92  10.9  460.96  69.  .203234358
 -65.1 -19.3  333.9  70.  .280478167
 -55.85  131.55  898.35  71.  .852014612
 -54.68 -56.05  494.35  72.  .519954276
 -53.8  4.4  366.05  73.  .268359352
 -44.37 -31.34  427.1  74.  .467498933
 -42.57  73.25  485.35  75.  .551051525
 -42.05  13.11  561.06  76.  .344894547
 -41.98 -32.55  444.3  77.  .48527533
 -35.46  2.2  442.46  78.  .43067458
 -33.77 -.2  442.1  79.  .461732658
 -33.71  23.95  543.45  80.  .425172762
 -32.38 -39.5  534.96  81.  .543662929
 -25.56 -156.15  786.91  82.  .94446461
 -25.1  81.35  618.8  83.  .640390231
 -23.93  98.16  602.51  84.  .728765149
 -20.32 -76.05  606.35  85.  .65618458
 -20.38 -103.91  661.35  86.  .779242158
 -20.09 -56.5  536.71  87.  .593009999
 -19.86  32.4  592.45  88.  .52402382
 -19.68  41.8  586.3  89.  .522594964
 -16.42  52.15  695.95  90.  .552716577
 -15.84  26.11  484.56  91.  .5664245
 -10.95  21.41  675.46  92.  .628618681
 -5.77 -20.95  598.66  93.  .684320656
 -1.98  44.  499.45  94.  .580552847
  .58 -60.39  582.06  95.  .59334384
  2.39  99.8  767.95  96.  .762275753
  4.66 -32.5  742.16  97.  .584875206
  5.71  263.2  736.56  98.  .998979023
  12.11  60.1  738.45  99.  .610591124
  12.29  34.66  587.51  100.  .603697663
  14.33  20.05  511.76  101.  .669895251
  15.25 -30.89  612.06  102.  .538305279
  15.31  33.16  570.7  103.  .602778346
  17.02  35.  729.35  104.  .594761624
  18.4  65.4  745.3  105.  .625161931
  20.62 -46.3  530.8  106.  .510741987
  20.79 -15.75  533.8  107.  .542382515
  21.09 -12.61  572.85  108.  .551991315
  22.48 -38.2  590.65  109.  .491642308
  23.47 -65.16  687.91  110.  .557045981
  23.76  42.85  672.41  111.  .573334584
  25.68 -87.9  566.35  112.  .661779703
  26.26 -74.16  661.71  113.  .589901531
  27.72  59.8  680.6  114.  .600853317
  32.85 -30.39  691.46  115.  .418893235
  33.96  15.  927.71  116.  .497259691
  35.05 -1.8  739.76  117.  .408572503
  35.82  24.8  766.55  118.  .504777084
  36.11  3.3  853.85  119.  .418182256
  38.67  13.75  724.1  120.  .441639574
  38.96  20.66  801.16  121.  .467263522
  40.42  47.8  735.91  122.  .536401066
  40.76  51.25  793.76  123.  .546784361
  40.88 -36.8  624.55  124.  .382265958
  41.75  27.75  846.3  125.  .469614925
  47.81  18.25  802.45  126.  .380682032
  48.68 -104.7  409.96  127.  .713669955
  53.99  7.05  773.16  128.  .279916777
  55.44 -.65  683.85  129.  .250265749
  56.55  12.4  846.01  130.  .287119324
  58.93 -25.3  858.6  131.  .245630249
  60.45  47.95  762.01  132.  .459805214
  61.67 -5.6  726.16  133.  .211170475
  62.54  29.2  725.15  134.  .34443063
  62.66  34.16  859.1  135.  .372407863
  63.13 -19.34  745.26  136.  .21098086
  63.83 -42.34  765.41  137.  .289517298
  64.23  57.9  683.26  138.  .501828433
  65.69  11.1  648.55  139.  .232730548
  66.57 -84.  741.3  140.  .530830007
  70.52  12.25  832.76  141.  .216334164
  72.79  3.61  835.06  142.  .185711466
  74.89  16.05  661.46  143.  .214161544
  76.52  126.95  450.1  144.  .864032102
  76.76 -8.7  854.91  145.  .15852547
  78.45 -27.4  811.55  146.  .178936244
  82.29  50.4  868.26  147.  .385632906
  84.79 -20.6  808.7  148.  .1473364
  90.38 -13.59  765.76  149.  .129672807
  90.38 -6.66  874.05  150.  .131345307
  98.54  6.89  771.85  151.  .13117321
  102.03  24.  855.8  152.  .167062967
  102.9  61.5  745.1  153.  .393848819
  107.15 -10.1  776.45  154.  .106498991
  108.2 -18.  779.71  155.  .106890955
  108.78 -.8  823.3  156.  .110257712
  109.25 -37.15  785.6  157.  .140140991
  112.63  58.75  727.55  158.  .342030341
  112.63 -23.05  764.96  159.  .106607676
  116.82  47.4  618.26  161.  .250263024
  122.23  15.15  813.35  163.  .112304132
  124.33  9.7  832.26  164.  .103156559
  125.91 -4.3  811.75  165.  .0922883907
  136.16 -2.6  753.1  167.  .0864831867
  164.69  26.5  747.55  180.  .0990731502
  179.25  62.  749.75  182.  .220681378
  188.92  101.3  716.05  185.  .537048749
  192.17  193.59  663.75  186.  .979002442
  194.74  123.39  768.95  188.  .727710254
  195.21  50.7  787.35  189.  .147512542
  196.02  165.89  700.05  190.  .936482777
  198.81  33.39  418.55  191.  .0965856791
  202.54  89.39  716.65  192.  .397048912
  205.57  269.3  609.95  193.  .995
  208.13 -139.41  757.35  194.  .692782862
  215.7  37.59  812.85  196.  .0995051443
  221.88 -69.7  740.95  197.  .138383456
  222.11  17.09  657.95  198.  .0731294537
  237.37 -4.2  784.75  199.  .064955565
  241.22 -100.7  1703.25  200.  .293097774
  241.67  19.89  544.75  201.  .074218211
  260.66 -164.3  452.35  202.  .822601124
  275.92  137.39  804.25  203.  .749378525
  290.71  11.09  734.05  204.  .0734717198
