    -4.90     1.00    32.00   -71.90    93.65     2.00   600.22     1.00      .58    28.94      .00     1.00
    -4.86     1.00    32.00    91.56   -74.20     4.00   638.55     1.00      .61   -22.93      .00     1.00
    -5.93     1.00    32.00   -74.11    47.64     7.00   803.76     1.00      .61    14.72      .00     1.00
    -5.94     1.00    32.00   123.34    67.77    11.00   464.27     1.00      .64    20.94      .00     1.00
    -6.23     1.00    32.00   -52.37    34.79    14.00   405.77     1.00      .63    10.75      .00     1.00
    -5.85     1.00    32.00   -81.02   103.49    16.00   804.52     1.00      .59    31.98      .00     1.00
    -5.58     1.00    32.00  -104.23   -27.37    25.00   767.09     1.00      .63    -8.46      .00     1.00
    -5.87     1.00    32.00   118.29    33.66    31.00   473.83     1.00      .64    10.40      .00     1.00
    -5.17     1.00    32.00    52.04  -110.09    33.00   544.38     1.00      .56   -34.02      .00     1.00
    -4.96     1.00    32.00  -114.43    25.47    34.00   679.49     1.00      .64     7.87      .00     1.00
    -5.12     1.00    32.00   -49.35   -18.83    36.00   521.62     1.00      .66    -5.82      .00     1.00
    -4.93     1.00    32.00    71.46   -38.22    42.00   705.88     1.00      .62   -11.81      .00     1.00
    -5.15     1.00    32.00   -76.80   -83.13    44.00   718.32     1.00      .59   -25.69      .00     1.00
    -5.66     1.00    32.00    88.87   -76.89    46.00   812.20     1.00      .60   -23.76      .00     1.00
    -5.00     1.00    32.00   120.37   -45.27    47.00   577.99     1.00      .64   -13.99      .00     1.00
    -4.83     1.00    32.00  -102.98    11.13    49.00   588.67     1.00      .64     3.44      .00     1.00
    -4.87     1.00    32.00   -98.97    42.33    53.00   649.73     1.00      .63    13.08      .00     1.00
    -5.43     1.00    32.00    50.41    -7.83    56.00   516.72     1.00      .67    -2.42      .00     1.00
    -4.84     1.00    32.00   107.61   -57.79    58.00   659.12     1.00      .63   -17.86      .00     1.00
    -6.42     1.00    32.00    64.91    94.01    59.00   880.57     1.00      .58    29.05      .00     1.00
    -4.91     1.00    32.00    55.35    57.44    61.00   609.32     1.00      .60    17.75      .00     1.00
    -4.98     1.00    32.00   -88.98    44.47    64.00   684.07     1.00      .62    13.74      .00     1.00
    -4.92     1.00    32.00    53.31  -121.19    65.00   664.62     1.00      .56   -37.45      .00     1.00
    -4.85     1.00    32.00    47.18   -33.72    66.00   639.76     1.00      .64   -10.42      .00     1.00
    -5.12     1.00    32.00   -61.67    25.53    69.00   711.78     1.00      .64     7.89      .00     1.00
    -5.01     1.00    32.00   -45.89   -85.24    74.00   688.48     1.00      .57   -26.34      .00     1.00
    -5.22     1.00    32.00   -59.37    -1.36    78.00   502.45     1.00      .65     -.42      .00     1.00
    -5.81     1.00    32.00   -72.07  -110.54    83.00   443.49     1.00      .58   -34.16      .00     1.00
    -6.00     1.00    32.00   -73.23   -89.67    84.00   424.28     1.00      .58   -27.71      .00     1.00
    -5.05     1.00    32.00   -49.38   114.04    86.00   558.01     1.00      .56    35.24      .00     1.00
    -6.71     1.00    32.00   -95.73   -25.85    87.00   373.71     1.00      .63    -7.99      .00     1.00
    -5.79     1.00    32.00    89.41   104.49    96.00   823.55     1.00      .60    32.29      .00     1.00
    -4.96     1.00    32.00   -98.66    75.11    97.00   562.21     1.00      .61    23.21      .00     1.00
