 -148.761  112.000   96.000   67.882   52.000     .649    1.000   60.327   27.000     .477
 -119.380  103.000   42.000   29.698   73.000     .617    2.000   73.852   24.000     .176
 -144.070  121.000   81.000   57.276   82.000     .609    3.000   84.595   27.000     .258
 -148.954   64.000   55.000   38.891   65.000     .602    4.000   99.099   27.000     .328
 -124.861  103.000   66.000   46.669   73.000     .601    5.000  111.432   23.000     .472
 -161.807  232.000  102.000   72.125   93.000     .608    6.000  130.544   28.000     .496
 -150.359  142.000  101.000   71.418  109.000     .615    7.000  145.687   26.000     .424
 -129.138  182.000   73.000   51.619   78.000     .631    8.000  157.404   23.000     .426
 -158.575  116.000  128.000   90.510  119.000     .645    9.000  169.809   27.000     .724
 -136.854  241.000   10.000    7.071   88.000     .657   10.000  183.518   26.000    1.044
 -155.237  204.000   22.000   15.556  141.000     .718   11.000  201.358   28.000    1.474
 -142.932  235.000   38.000   26.870   88.000     .792   12.000  230.625   27.000    2.362
 -146.560  401.000   12.000    8.485  101.000     .815   13.000  267.632   28.000    2.960
 -146.039  203.000   89.000   62.933   82.000     .830   14.000  303.715   28.000    3.292
 -145.591   61.000   70.000   49.497  103.000     .780   15.000  353.064   28.000    9.291
