 -150.325    8.000  128.000   90.510   90.000     .645    1.000   60.329   27.000     .495
 -134.075    1.000   83.000   58.690   62.000     .618    2.000   75.210   27.000     .412
 -136.546    1.000   82.000   57.983   68.000     .600    3.000   98.842   28.000     .395
 -145.835   49.000  121.000   85.560   85.000     .600    4.000  122.694   27.000     .466
 -151.129    1.000  112.000   79.196   95.000     .619    5.000  137.172   28.000     .643
 -142.315   80.000   91.000   64.347   78.000     .640    6.000  162.339   28.000    1.314
 -127.108   96.000   46.000   32.527   39.000     .702    7.000  193.908   24.000     .930
 -151.271  127.000   82.000   57.983   96.000     .702    8.000  215.468   29.000    1.955
 -146.549  269.000   63.000   44.548   73.000     .809    9.000  253.435   28.000    3.617
 -148.825  239.000    9.000    6.364   86.000     .854   10.000  306.760   29.000    4.012
 -147.225    1.000  115.000   81.317  100.000     .767   11.000  366.474   28.000    4.284
 -145.101   28.000   47.000   33.234   99.000     .711   12.000  416.107   29.000    5.945
