#_RAJ2000   _DEJ2000  Name     rh rm rs     dg dm ds       HV     mag    Simba   
345.2696  +30.1424  N7457-104  23 01 04.7  +30 08 32.8   828.64  19.48  Simbad
345.2704  +30.1405  N7457-105  23 01 04.9  +30 08 25.9   733.74  19.80  Simbad
345.2708  +30.1475  N7457-106  23 01 05.0  +30 08 51.0   747.44  19.61  Simbad
345.2729  +30.1381  N7457-107  23 01 05.5  +30 08 17.3   752.84  20.06  Simbad
345.2754  +30.1541  N7457-108  23 01 06.1  +30 09 14.9   740.74  19.96  Simbad
345.2771  +30.1248  N7457-109  23 01 06.5  +30 07 29.2   719.34  20.11  Simbad
345.2812  +30.1374  N7457-110  23 01 07.5  +30 08 14.6   734.94  18.92  Simbad
345.2825  +30.1242  N7457-111  23 01 07.8  +30 07 27.2   756.14  20.25  Simbad
345.2846  +30.1402  N7457-112  23 01 08.3  +30 08 24.6   755.84  19.98  Simbad
345.2921  +30.1162  N7457-113  23 01 10.1  +30 06 58.2   724.74  19.83  Simbad
137.7337  +60.0561  N2768-01   09 10 56.1  +60 03 21.9  1181.30  20.86  Simbad
137.7483  +60.0371  N2768-02   09 10 59.6  +60 02 13.7  1133.90  21.86  Simbad
137.7496  +60.0607  N2768-03   09 10 59.9  +60 03 38.5  1134.40  21.05  Simbad
137.7554  +60.0509  N2768-04   09 11 01.3  +60 03 03.1  1172.10  20.49  Simbad
137.7587  +60.0035  N2768-05   09 11 02.1  +60 00 12.6  1323.10  20.31  Simbad
137.7587  +60.0438  N2768-06   09 11 02.1  +60 02 37.8  1181.10  20.73  Simbad
137.7621  +60.0200  N2768-07   09 11 02.9  +60 01 12.0  1179.10  20.09  Simbad
137.7621  +60.0695  N2768-08   09 11 02.9  +60 04 10.2  1147.40  20.99  Simbad
137.7621  +60.0752  N2768-09   09 11 02.9  +60 04 30.9  1245.70  19.93  Simbad
137.7662  +60.0194  N2768-10   09 11 03.9  +60 01 09.8  1251.70  20.67  Simbad
137.7662  +60.0867  N2768-11   09 11 03.9  +60 05 12.1  1422.50  21.80  Simbad
137.7683  +60.0538  N2768-12   09 11 04.4  +60 03 13.6  1275.80  20.66  Simbad
137.7721  +60.0344  N2768-13   09 11 05.3  +60 02 03.7  1156.70  20.69  Simbad
137.7742  +60.0398  N2768-14   09 11 05.8  +60 02 23.3  1341.60  20.90  Simbad
137.7779  +60.0342  N2768-15   09 11 06.7  +60 02 03.1  1384.60  20.27  Simbad
137.7796  +60.0904  N2768-16   09 11 07.1  +60 05 25.5  1409.40  20.22  Simbad
137.7858  +60.0316  N2768-17   09 11 08.6  +60 01 53.7  1070.70  21.43  Simbad
137.7896  +60.0144  N2768-18   09 11 09.5  +60 00 51.7  1548.30  20.09  Simbad
137.7925  +60.0254  N2768-19   09 11 10.2  +60 01 31.4  1295.40  20.51  Simbad
137.7942  +60.0213  N2768-20   09 11 10.6  +60 01 16.8  1564.80  20.82  Simbad
137.7967  +60.0410  N2768-21   09 11 11.2  +60 02 27.5  1209.30  20.63  Simbad
137.7979  +60.0024  N2768-22   09 11 11.5  +60 00 08.5  1235.90  20.78  Simbad
137.8021  +60.0481  N2768-23   09 11 12.5  +60 02 53.3  1126.10  20.35  Simbad
137.8046  +60.0281  N2768-24   09 11 13.1  +60 01 41.2  1262.20  20.85  Simbad
137.8079  +60.0550  N2768-25   09 11 13.9  +60 03 18.0  1235.00  20.61  Simbad
137.8079  +59.9877  N2768-26   09 11 13.9  +59 59 15.9  1397.10  20.36  Simbad
137.8079  +60.0415  N2768-27   09 11 13.9  +60 02 29.3  1286.10  21.44  Simbad
137.8096  +60.1049  N2768-28   09 11 14.3  +60 06 17.7  1285.30  20.09  Simbad
137.8096  +60.0509  N2768-29   09 11 14.3  +60 03 03.4  1167.00  20.95  Simbad
137.8117  +60.0731  N2768-30   09 11 14.8  +60 04 23.1  1449.50  20.93  Simbad
137.8137  +60.0372  N2768-31   09 11 15.3  +60 02 14.0  1192.30  99.99  Simbad
137.8158  +60.0480  N2768-32   09 11 15.8  +60 02 52.7  1203.30  20.35  Simbad
137.8175  +60.0281  N2768-33   09 11 16.2  +60 01 41.0  1113.20  20.39  Simbad
137.8192  +60.0219  N2768-34   09 11 16.6  +60 01 18.9  1180.50  21.26  Simbad
137.8221  +60.0231  N2768-35   09 11 17.3  +60 01 23.0  1347.50  20.81  Simbad
137.8225  +60.0552  N2768-36   09 11 17.4  +60 03 18.6  1291.60  20.75  Simbad
137.8242  +60.0422  N2768-37   09 11 17.8  +60 02 32.0  1199.70  21.08  Simbad
137.8246  +60.0240  N2768-38   09 11 17.9  +60 01 26.5  1099.90  21.14  Simbad
137.8250  +60.0269  N2768-39   09 11 18.0  +60 01 36.7  1124.60  20.40  Simbad
137.8258  +60.0323  N2768-40   09 11 18.2  +60 01 56.3  1441.10  20.78  Simbad
137.8271  +60.0783  N2768-41   09 11 18.5  +60 04 41.9  1051.30  20.66  Simbad
137.8283  +60.0742  N2768-42   09 11 18.8  +60 04 27.0  1551.90  20.12  Simbad
137.8321  +60.0112  N2768-43   09 11 19.7  +60 00 40.3  1334.80  20.21  Simbad
137.8329  +59.9845  N2768-44   09 11 19.9  +59 59 04.3  1402.40  20.68  Simbad
137.8342  +60.0164  N2768-45   09 11 20.2  +60 00 58.9  1289.50  21.01  Simbad
137.8358  +60.0563  N2768-46   09 11 20.6  +60 03 22.6  1316.60  20.90  Simbad
137.8358  +59.9793  N2768-47   09 11 20.6  +59 58 45.4  1358.30  19.89  Simbad
137.8375  +60.0220  N2768-48   09 11 21.0  +60 01 19.2  1294.60  20.51  Simbad
137.8379  +60.0404  N2768-49   09 11 21.1  +60 02 25.6  1068.60  20.63  Simbad
137.8379  +60.0392  N2768-50   09 11 21.1  +60 02 21.0  1038.80  20.97  Simbad
137.8387  +60.0626  N2768-51   09 11 21.3  +60 03 45.4  1122.10  20.71  Simbad
137.8396  +60.0411  N2768-52   09 11 21.5  +60 02 28.0  1277.70  21.01  Simbad
137.8400  +60.0484  N2768-53   09 11 21.6  +60 02 54.4  1248.80  19.52  Simbad
137.8400  +60.0617  N2768-54   09 11 21.6  +60 03 42.0  1266.30  21.85  Simbad
137.8417  +60.0357  N2768-55   09 11 22.0  +60 02 08.5  1161.00  20.16  Simbad
137.8425  +60.0751  N2768-56   09 11 22.2  +60 04 30.3  1258.90  20.61  Simbad
137.8437  +60.0503  N2768-57   09 11 22.5  +60 03 01.1  1327.90  20.51  Simbad
137.8442  +60.0148  N2768-58   09 11 22.6  +60 00 53.2  1264.90  20.51  Simbad
137.8446  +60.0513  N2768-59   09 11 22.7  +60 03 04.7  1483.10  20.68  Simbad
137.8458  +60.0602  N2768-60   09 11 23.0  +60 03 36.6  1368.80  21.62  Simbad
137.8462  +60.0517  N2768-61   09 11 23.1  +60 03 06.2  1517.50  20.22  Simbad
137.8487  +59.9964  N2768-62   09 11 23.7  +59 59 47.0  1343.60  20.14  Simbad
137.8487  +60.0248  N2768-63   09 11 23.7  +60 01 29.4  1407.40  20.12  Simbad
137.8492  +60.0314  N2768-64   09 11 23.8  +60 01 52.9  1191.20  20.44  Simbad
137.8492  +60.0206  N2768-65   09 11 23.8  +60 01 14.0  1346.50  21.04  Simbad
137.8500  +60.0466  N2768-66   09 11 24.0  +60 02 47.8  1225.80  20.72  Simbad
137.8500  +60.0306  N2768-67   09 11 24.0  +60 01 50.0  1181.10  20.33  Simbad
137.8504  +60.0102  N2768-68   09 11 24.1  +60 00 36.7  1478.40  20.54  Simbad
137.8508  +60.0529  N2768-69   09 11 24.2  +60 03 10.4  1338.40  20.45  Simbad
137.8517  +60.0787  N2768-70   09 11 24.4  +60 04 43.4  1526.70  20.50  Simbad
137.8521  +60.0673  N2768-71   09 11 24.5  +60 04 02.4  1591.10  20.56  Simbad
137.8529  +60.0209  N2768-72   09 11 24.7  +60 01 15.3  1206.20  21.34  Simbad
137.8537  +60.0621  N2768-73   09 11 24.9  +60 03 43.5   949.80  20.36  Simbad
137.8542  +60.0402  N2768-74   09 11 25.0  +60 02 24.7  1378.40  19.98  Simbad
137.8550  +60.0305  N2768-75   09 11 25.2  +60 01 49.8  1354.10  20.57  Simbad
137.8554  +60.0291  N2768-76   09 11 25.3  +60 01 44.9  1180.60  20.28  Simbad
137.8562  +60.0399  N2768-77   09 11 25.5  +60 02 23.5  1192.70  21.10  Simbad
137.8567  +60.0097  N2768-78   09 11 25.6  +60 00 34.9  1474.90  20.64  Simbad
137.8571  +60.0496  N2768-79   09 11 25.7  +60 02 58.7  1154.40  20.01  Simbad
137.8571  +60.0348  N2768-80   09 11 25.7  +60 02 05.2  1124.10  20.27  Simbad
137.8579  +60.0279  N2768-81   09 11 25.9  +60 01 40.5  1313.30  99.99  Simbad
137.8583  +59.9806  N2768-82   09 11 26.0  +59 58 50.2  1516.40  20.23  Simbad
137.8608  +60.0534  N2768-83   09 11 26.6  +60 03 12.2  1399.80  20.25  Simbad
137.8608  +60.0776  N2768-84   09 11 26.6  +60 04 39.2  1404.10  20.48  Simbad
137.8608  +60.0328  N2768-85   09 11 26.6  +60 01 58.0  1476.90  20.58  Simbad
137.8612  +60.0008  N2768-86   09 11 26.7  +60 00 02.9  1332.80  20.35  Simbad
137.8621  +60.0323  N2768-87   09 11 26.9  +60 01 56.2  1106.00  20.22  Simbad
137.8621  +60.0392  N2768-88   09 11 26.9  +60 02 21.3  1019.10  20.57  Simbad
137.8637  +60.0463  N2768-89   09 11 27.3  +60 02 46.5  1213.30  20.82  Simbad
137.8642  +60.0606  N2768-90   09 11 27.4  +60 03 38.1  1275.60  20.40  Simbad
137.8642  +60.0432  N2768-91   09 11 27.4  +60 02 35.7  1387.50  22.26  Simbad
137.8646  +60.0287  N2768-92   09 11 27.5  +60 01 43.4  1031.00  20.73  Simbad
137.8650  +60.0017  N2768-93   09 11 27.6  +60 00 06.2  1326.10  21.06  Simbad
137.8658  +60.1077  N2768-94   09 11 27.8  +60 06 27.6  1891.80  20.47  Simbad
137.8662  +60.0222  N2768-95   09 11 27.9  +60 01 19.8  1537.80  20.93  Simbad
137.8667  +60.0520  N2768-96   09 11 28.0  +60 03 07.3  1248.70  20.79  Simbad
137.8667  +60.0294  N2768-97   09 11 28.0  +60 01 45.9  1317.80  20.63  Simbad
137.8683  +60.0312  N2768-98   09 11 28.4  +60 01 52.4  1277.70  20.62  Simbad
137.8687  +60.0433  N2768-99   09 11 28.5  +60 02 35.8  1321.90  21.13  Simbad
137.8696  +60.0275  N2768-100  09 11 28.7  +60 01 39.1  1633.10  20.67  Simbad
137.8704  +59.9984  N2768-101  09 11 28.9  +59 59 54.3  1166.20  20.97  Simbad
137.8704  +59.9948  N2768-102  09 11 28.9  +59 59 41.2  1401.10  20.96  Simbad
137.8708  +60.0068  N2768-103  09 11 29.0  +60 00 24.4  1048.90  20.93  Simbad
137.8712  +60.0483  N2768-104  09 11 29.1  +60 02 53.9  1446.00  21.11  Simbad
137.8725  +60.0511  N2768-105  09 11 29.4  +60 03 04.1  1411.60  20.73  Simbad
137.8725  +60.0592  N2768-106  09 11 29.4  +60 03 33.2  1545.60  22.49  Simbad
137.8738  +60.0097  N2768-107  09 11 29.7  +60 00 34.8  1430.60  20.34  Simbad
137.8746  +60.0306  N2768-108  09 11 29.9  +60 01 50.1  1294.40  20.57  Simbad
137.8754  +60.0241  N2768-109  09 11 30.1  +60 01 26.9   942.50  21.03  Simbad
137.8762  +60.0356  N2768-110  09 11 30.3  +60 02 08.2  1583.20  20.29  Simbad
137.8767  +60.0533  N2768-111  09 11 30.4  +60 03 11.9  1133.90  20.35  Simbad
137.8767  +60.0306  N2768-112  09 11 30.4  +60 01 50.3  1281.10  21.13  Simbad
137.8771  +60.0081  N2768-113  09 11 30.5  +60 00 29.0  1445.00  21.09  Simbad
137.8775  +60.0353  N2768-114  09 11 30.6  +60 02 07.0  1025.60  20.05  Simbad
137.8775  +60.0559  N2768-115  09 11 30.6  +60 03 21.2  1339.40  20.93  Simbad
137.8783  +60.0506  N2768-116  09 11 30.8  +60 03 02.2  1470.50  21.54  Simbad
137.8783  +60.0337  N2768-117  09 11 30.8  +60 02 01.4  1187.70  20.39  Simbad
137.8787  +60.0759  N2768-118  09 11 30.9  +60 04 33.3  1128.80  19.99  Simbad
137.8787  +60.0006  N2768-119  09 11 30.9  +60 00 02.2  1288.00  20.84  Simbad
137.8792  +60.0302  N2768-120  09 11 31.0  +60 01 48.7  1374.20  20.50  Simbad
137.8796  +60.0272  N2768-121  09 11 31.1  +60 01 38.0  1180.20  20.57  Simbad
137.8804  +60.0246  N2768-122  09 11 31.3  +60 01 28.6  1209.10  20.96  Simbad
137.8804  +60.0294  N2768-123  09 11 31.3  +60 01 45.7  1271.50  20.50  Simbad
137.8817  +60.0018  N2768-124  09 11 31.6  +60 00 06.5  1381.70  20.44  Simbad
137.8821  +60.0086  N2768-125  09 11 31.7  +60 00 30.9  1411.50  20.53  Simbad
137.8825  +60.0326  N2768-126  09 11 31.8  +60 01 57.2  1333.50  21.01  Simbad
137.8825  +60.0559  N2768-127  09 11 31.8  +60 03 21.1  1292.60  20.64  Simbad
137.8829  +60.0053  N2768-128  09 11 31.9  +60 00 18.9  1127.10  20.31  Simbad
137.8854  +60.0003  N2768-129  09 11 32.5  +60 00 00.9  1331.10  20.20  Simbad
137.8858  +60.0255  N2768-130  09 11 32.6  +60 01 31.8  1483.80  19.79  Simbad
137.8871  +60.0572  N2768-131  09 11 32.9  +60 03 25.9  1340.30  20.70  Simbad
137.8887  +60.0316  N2768-132  09 11 33.3  +60 01 53.6  1270.50  21.77  Simbad
137.8892  +59.9948  N2768-133  09 11 33.4  +59 59 41.4  1501.70  21.21  Simbad
137.8908  +60.0250  N2768-134  09 11 33.8  +60 01 30.0  1404.90  21.59  Simbad
137.8908  +60.0459  N2768-135  09 11 33.8  +60 02 45.3  1327.80  20.36  Simbad
137.8917  +60.0465  N2768-136  09 11 34.0  +60 02 47.3  1330.80  20.39  Simbad
137.8925  +59.9889  N2768-137  09 11 34.2  +59 59 20.0  1585.00  19.97  Simbad
137.8929  +60.0691  N2768-138  09 11 34.3  +60 04 08.7  1158.80  21.00  Simbad
137.8933  +60.0469  N2768-139  09 11 34.4  +60 02 48.9  1746.40  20.61  Simbad
137.8946  +59.9760  N2768-140  09 11 34.7  +59 58 33.6  1527.60  20.73  Simbad
137.8954  +60.0034  N2768-141  09 11 34.9  +60 00 12.1  1167.90  21.11  Simbad
137.8975  +60.0193  N2768-142  09 11 35.4  +60 01 09.6  1460.70  20.75  Simbad
137.8983  +60.0520  N2768-143  09 11 35.6  +60 03 07.1  1380.10  20.37  Simbad
137.8987  +60.0261  N2768-144  09 11 35.7  +60 01 33.8  1500.70  20.45  Simbad
137.8987  +60.0434  N2768-145  09 11 35.7  +60 02 36.1  1339.90  19.74  Simbad
137.8996  +60.0707  N2768-146  09 11 35.9  +60 04 14.6  1468.80  21.43  Simbad
137.9021  +60.0264  N2768-147  09 11 36.5  +60 01 35.1  1271.40  20.06  Simbad
137.9050  +60.0545  N2768-148  09 11 37.2  +60 03 16.1  1393.20  20.66  Simbad
137.9058  +60.0509  N2768-149  09 11 37.4  +60 03 03.3  1271.40  20.56  Simbad
137.9062  +60.1025  N2768-150  09 11 37.5  +60 06 09.1  1472.70  20.54  Simbad
137.9071  +60.0555  N2768-151  09 11 37.7  +60 03 19.9  1777.80  20.43  Simbad
137.9075  +60.0571  N2768-152  09 11 37.8  +60 03 25.4  1476.50  21.38  Simbad
137.9092  +60.0517  N2768-153  09 11 38.2  +60 03 06.0  1268.00  21.03  Simbad
137.9100  +60.0248  N2768-154  09 11 38.4  +60 01 29.4  1569.60  21.47  Simbad
137.9108  +60.0619  N2768-155  09 11 38.6  +60 03 43.0  1265.20  21.48  Simbad
137.9129  +60.0213  N2768-156  09 11 39.1  +60 01 16.7  1486.60  20.28  Simbad
137.9137  +60.0752  N2768-157  09 11 39.3  +60 04 30.9  1346.80  20.34  Simbad
137.9150  +60.0584  N2768-158  09 11 39.6  +60 03 30.4  1179.80  20.32  Simbad
137.9167  +60.0474  N2768-159  09 11 40.0  +60 02 50.8  1488.70  20.36  Simbad
137.9167  +60.0052  N2768-160  09 11 40.0  +60 00 18.7  1491.60  20.69  Simbad
137.9171  +60.0069  N2768-161  09 11 40.1  +60 00 25.0  1395.70  20.46  Simbad
137.9175  +60.0205  N2768-162  09 11 40.2  +60 01 13.7  1394.20  20.32  Simbad
137.9179  +60.0702  N2768-163  09 11 40.3  +60 04 12.8  1283.70  21.12  Simbad
137.9196  +59.9952  N2768-164  09 11 40.7  +59 59 42.7  1457.00  21.18  Simbad
137.9200  +60.0658  N2768-165  09 11 40.8  +60 03 56.9  1536.80  21.54  Simbad
137.9217  +60.0175  N2768-166  09 11 41.2  +60 01 03.1  1352.50  21.03  Simbad
137.9217  +60.0364  N2768-167  09 11 41.2  +60 02 10.9  1265.80  19.48  Simbad
137.9233  +60.0501  N2768-168  09 11 41.6  +60 03 00.5  1807.60  20.44  Simbad
137.9233  +60.0309  N2768-169  09 11 41.6  +60 01 51.4  1170.50  21.07  Simbad
137.9242  +60.0264  N2768-170  09 11 41.8  +60 01 35.2  1313.90  20.59  Simbad
137.9242  +60.0107  N2768-171  09 11 41.8  +60 00 38.7  1601.10  21.91  Simbad
137.9242  +60.0399  N2768-172  09 11 41.8  +60 02 23.8  1825.40  19.50  Simbad
137.9250  +60.0689  N2768-173  09 11 42.0  +60 04 08.2  1425.90  20.22  Simbad
137.9263  +60.0450  N2768-174  09 11 42.3  +60 02 41.9  1407.40  20.41  Simbad
137.9271  +60.0143  N2768-175  09 11 42.5  +60 00 51.4  1488.00  20.38  Simbad
137.9275  +60.0435  N2768-176  09 11 42.6  +60 02 36.5  1439.70  20.40  Simbad
137.9283  +60.0110  N2768-177  09 11 42.8  +60 00 39.6  1190.80  20.13  Simbad
137.9287  +60.0238  N2768-178  09 11 42.9  +60 01 25.8  1595.30  21.26  Simbad
137.9296  +59.9918  N2768-179  09 11 43.1  +59 59 30.5  1547.80  20.78  Simbad
137.9304  +60.0254  N2768-180  09 11 43.3  +60 01 31.6  1368.00  20.50  Simbad
137.9312  +60.0529  N2768-181  09 11 43.5  +60 03 10.5  1605.10  21.31  Simbad
137.9321  +60.0295  N2768-182  09 11 43.7  +60 01 46.3  1371.40  20.41  Simbad
137.9329  +60.0269  N2768-183  09 11 43.9  +60 01 37.0  1432.90  20.77  Simbad
137.9329  +60.0497  N2768-184  09 11 43.9  +60 02 59.1  1618.00  20.65  Simbad
137.9329  +60.0084  N2768-185  09 11 43.9  +60 00 30.4  1433.30  19.79  Simbad
137.9333  +60.0444  N2768-186  09 11 44.0  +60 02 40.0  1740.40  20.75  Simbad
137.9337  +60.0355  N2768-187  09 11 44.1  +60 02 07.9  1454.80  19.95  Simbad
137.9337  +60.0154  N2768-188  09 11 44.1  +60 00 55.3  1630.90  20.30  Simbad
137.9342  +60.0292  N2768-189  09 11 44.2  +60 01 45.1  1402.90  21.80  Simbad
137.9354  +60.0114  N2768-190  09 11 44.5  +60 00 41.1  1383.30  20.18  Simbad
137.9354  +60.0367  N2768-191  09 11 44.5  +60 02 12.0  1605.60  20.50  Simbad
137.9358  +60.0303  N2768-192  09 11 44.6  +60 01 48.9  1526.70  20.74  Simbad
137.9362  +60.0411  N2768-193  09 11 44.7  +60 02 28.1  1697.10  20.93  Simbad
137.9362  +60.0244  N2768-194  09 11 44.7  +60 01 27.8  1545.30  20.73  Simbad
137.9367  +60.0093  N2768-195  09 11 44.8  +60 00 33.3  1398.50  20.99  Simbad
137.9375  +60.0327  N2768-196  09 11 45.0  +60 01 57.7  1345.00  20.22  Simbad
137.9387  +60.0710  N2768-197  09 11 45.3  +60 04 15.7  1270.10  19.86  Simbad
137.9392  +60.0479  N2768-198  09 11 45.4  +60 02 52.3  1336.40  20.67  Simbad
137.9400  +60.0330  N2768-199  09 11 45.6  +60 01 58.7  1578.80  20.81  Simbad
137.9400  +60.0598  N2768-200  09 11 45.6  +60 03 35.2  1501.00  20.47  Simbad
137.9404  +60.0411  N2768-201  09 11 45.7  +60 02 27.8  1613.40  19.90  Simbad
137.9417  +60.0296  N2768-202  09 11 46.0  +60 01 46.5  1396.70  20.51  Simbad
137.9442  +60.0404  N2768-203  09 11 46.6  +60 02 25.4  1608.40  20.37  Simbad
137.9446  +60.0388  N2768-204  09 11 46.7  +60 02 19.8  1525.10  20.29  Simbad
137.9450  +60.0290  N2768-205  09 11 46.8  +60 01 44.5  1573.80  20.80  Simbad
137.9450  +60.0371  N2768-206  09 11 46.8  +60 02 13.5  1488.20  20.32  Simbad
137.9454  +60.0630  N2768-207  09 11 46.9  +60 03 46.8  1505.40  20.38  Simbad
137.9458  +60.0550  N2768-208  09 11 47.0  +60 03 17.9  1560.50  20.06  Simbad
137.9471  +60.0892  N2768-209  09 11 47.3  +60 05 21.0  1235.40  20.38  Simbad
137.9471  +60.0418  N2768-210  09 11 47.3  +60 02 30.4  1589.30  20.60  Simbad
137.9471  +60.0463  N2768-211  09 11 47.3  +60 02 46.5  1255.20  22.01  Simbad
137.9500  +60.0636  N2768-212  09 11 48.0  +60 03 48.8  1248.40  21.10  Simbad
137.9508  +60.0646  N2768-213  09 11 48.2  +60 03 52.7  1256.20  20.82  Simbad
137.9517  +60.0301  N2768-214  09 11 48.4  +60 01 48.4  1386.40  20.55  Simbad
137.9521  +60.0244  N2768-215  09 11 48.5  +60 01 27.8  1390.00  20.65  Simbad
137.9521  +60.0087  N2768-216  09 11 48.5  +60 00 31.3  1273.10  20.45  Simbad
137.9537  +60.0490  N2768-217  09 11 48.9  +60 02 56.3  1584.20  20.94  Simbad
137.9550  +60.0390  N2768-218  09 11 49.2  +60 02 20.3  1347.90  20.17  Simbad
137.9558  +60.0322  N2768-219  09 11 49.4  +60 01 55.9  1467.40  20.55  Simbad
137.9563  +59.9886  N2768-220  09 11 49.5  +59 59 18.9  1361.40  20.70  Simbad
137.9563  +60.0433  N2768-221  09 11 49.5  +60 02 35.8  1437.30  20.32  Simbad
137.9562  +60.0243  N2768-222  09 11 49.5  +60 01 27.6  1279.90  21.21  Simbad
137.9567  +60.0348  N2768-223  09 11 49.6  +60 02 05.2   835.70  20.31  Simbad
137.9579  +60.0527  N2768-224  09 11 49.9  +60 03 09.6  1381.90  20.07  Simbad
137.9587  +60.0425  N2768-225  09 11 50.1  +60 02 33.0  1614.90  20.75  Simbad
137.9592  +60.0434  N2768-226  09 11 50.2  +60 02 36.2  1739.00  20.91  Simbad
137.9592  +60.0449  N2768-227  09 11 50.2  +60 02 41.7  1844.30  21.15  Simbad
137.9592  +60.0228  N2768-228  09 11 50.2  +60 01 22.1  1444.40  20.72  Simbad
137.9600  +60.0377  N2768-229  09 11 50.4  +60 02 15.8  1454.10  20.41  Simbad
137.9612  +60.0125  N2768-230  09 11 50.7  +60 00 45.0  1413.00  21.04  Simbad
137.9617  +60.0153  N2768-231  09 11 50.8  +60 00 55.2  1334.90  20.54  Simbad
137.9625  +60.0052  N2768-232  09 11 51.0  +60 00 18.6  1622.80  20.81  Simbad
137.9625  +60.0583  N2768-233  09 11 51.0  +60 03 29.7  1407.80  21.24  Simbad
137.9633  +60.0422  N2768-234  09 11 51.2  +60 02 32.1  1478.90  21.17  Simbad
137.9642  +59.9920  N2768-235  09 11 51.4  +59 59 31.2  1433.40  21.00  Simbad
137.9642  +60.0233  N2768-236  09 11 51.4  +60 01 23.9  1602.30  21.20  Simbad
137.9646  +60.0426  N2768-237  09 11 51.5  +60 02 33.4  1473.70  22.19  Simbad
137.9650  +60.0366  N2768-238  09 11 51.6  +60 02 11.7  1589.50  20.33  Simbad
137.9650  +60.0177  N2768-239  09 11 51.6  +60 01 03.9  1423.70  20.99  Simbad
137.9654  +60.0075  N2768-240  09 11 51.7  +60 00 27.1  1501.60  20.69  Simbad
137.9658  +60.0441  N2768-241  09 11 51.8  +60 02 38.8  1671.60  21.16  Simbad
137.9667  +60.0464  N2768-242  09 11 52.0  +60 02 46.9  1459.00  20.82  Simbad
137.9675  +59.9961  N2768-243  09 11 52.2  +59 59 45.8  1238.00  19.98  Simbad
137.9700  +60.0343  N2768-244  09 11 52.8  +60 02 03.4  1214.70  21.50  Simbad
137.9708  +60.0388  N2768-245  09 11 53.0  +60 02 19.7  1438.00  22.22  Simbad
137.9708  +60.0417  N2768-246  09 11 53.0  +60 02 30.2  1451.30  99.99  Simbad
137.9721  +60.0124  N2768-247  09 11 53.3  +60 00 44.6  1376.00  20.78  Simbad
137.9725  +60.0304  N2768-248  09 11 53.4  +60 01 49.4  1562.80  21.18  Simbad
137.9725  +59.9923  N2768-249  09 11 53.4  +59 59 32.4  1501.10  20.27  Simbad
137.9729  +60.0409  N2768-250  09 11 53.5  +60 02 27.2  1344.40  21.75  Simbad
137.9733  +60.0327  N2768-251  09 11 53.6  +60 01 57.8  1591.70  21.54  Simbad
137.9742  +60.0700  N2768-252  09 11 53.8  +60 04 12.1  1491.20  20.49  Simbad
137.9742  +60.0344  N2768-253  09 11 53.8  +60 02 03.8  1474.50  21.26  Simbad
137.9742  +60.0478  N2768-254  09 11 53.8  +60 02 52.2  1398.80  20.03  Simbad
137.9750  +60.0389  N2768-255  09 11 54.0  +60 02 20.0  1496.50  20.63  Simbad
137.9758  +59.9779  N2768-256  09 11 54.2  +59 58 40.6  1595.00  20.77  Simbad
137.9767  +60.0213  N2768-257  09 11 54.4  +60 01 16.6  1268.20  21.01  Simbad
137.9767  +60.0512  N2768-258  09 11 54.4  +60 03 04.3  1673.70  20.42  Simbad
137.9767  +60.0525  N2768-259  09 11 54.4  +60 03 08.9  1370.20  20.87  Simbad
137.9767  +60.0562  N2768-260  09 11 54.4  +60 03 22.5  1363.60  20.42  Simbad
137.9779  +60.0373  N2768-261  09 11 54.7  +60 02 14.2  1320.60  19.67  Simbad
137.9788  +60.0256  N2768-262  09 11 54.9  +60 01 32.0  1587.90  21.09  Simbad
137.9796  +60.0643  N2768-263  09 11 55.1  +60 03 51.5  1154.10  20.79  Simbad
137.9800  +60.0363  N2768-264  09 11 55.2  +60 02 10.5  1258.20  99.99  Simbad
137.9800  +60.0936  N2768-265  09 11 55.2  +60 05 36.9  1470.30  20.26  Simbad
137.9804  +60.0327  N2768-266  09 11 55.3  +60 01 57.7  1393.40  20.53  Simbad
137.9829  +60.0177  N2768-267  09 11 55.9  +60 01 03.7  1553.10  20.17  Simbad
137.9829  +60.0683  N2768-268  09 11 55.9  +60 04 05.9  1380.00  19.93  Simbad
137.9833  +60.0381  N2768-269  09 11 56.0  +60 02 17.1  1225.90  20.50  Simbad
137.9850  +60.0399  N2768-270  09 11 56.4  +60 02 23.5  1549.20  23.15  Simbad
137.9850  +59.9933  N2768-271  09 11 56.4  +59 59 35.8  1241.60  20.91  Simbad
137.9858  +60.0598  N2768-272  09 11 56.6  +60 03 35.2  1474.80  20.94  Simbad
137.9858  +60.0779  N2768-273  09 11 56.6  +60 04 40.6  1438.40  20.44  Simbad
137.9875  +60.0196  N2768-274  09 11 57.0  +60 01 10.4  1362.40  21.56  Simbad
137.9875  +60.0034  N2768-275  09 11 57.0  +60 00 12.4  1743.40  20.82  Simbad
137.9917  +60.0581  N2768-276  09 11 58.0  +60 03 29.2  1547.40  20.05  Simbad
137.9921  +60.0317  N2768-277  09 11 58.1  +60 01 54.3  1665.90  21.22  Simbad
137.9925  +60.0558  N2768-278  09 11 58.2  +60 03 20.9  1272.00  20.39  Simbad
137.9933  +60.0442  N2768-279  09 11 58.4  +60 02 39.3  1353.80  21.07  Simbad
137.9937  +60.0533  N2768-280  09 11 58.5  +60 03 11.9  1083.60  21.63  Simbad
137.9975  +60.0417  N2768-281  09 11 59.4  +60 02 30.1  1556.90  20.42  Simbad
