#_RAJ2000   _DEJ2000  Name     rh rm rs     dg dm ds       HV     mag    Simba   
151.2925   -7.7656  N3115-068  10 05 10.2  -07 45 56.3   698.78  18.08  Simbad
151.2929   -7.6994  N3115-069  10 05 10.3  -07 41 58.0   323.48  18.33  Simbad
151.2933   -7.7408  N3115-070  10 05 10.4  -07 44 26.7   307.08  18.42  Simbad
151.2933   -7.6773  N3115-071  10 05 10.4  -07 40 38.2   639.88  18.73  Simbad
151.2937   -7.6998  N3115-072  10 05 10.5  -07 41 59.3   706.18  18.26  Simbad
151.2937   -7.7331  N3115-073  10 05 10.5  -07 43 59.2   437.08  16.99  Simbad
151.2946   -7.8017  N3115-074  10 05 10.7  -07 48 06.3   445.78  18.29  Simbad
151.2946   -7.6865  N3115-075  10 05 10.7  -07 41 11.4   528.48  18.84  Simbad
151.2979   -7.6844  N3115-076  10 05 11.5  -07 41 03.9   409.08  18.35  Simbad
151.2983   -7.7392  N3115-077  10 05 11.6  -07 44 21.2   625.48  17.64  Simbad
151.2983   -7.7415  N3115-078  10 05 11.6  -07 44 29.5   552.98  18.22  Simbad
151.2983   -7.7490  N3115-079  10 05 11.6  -07 44 56.4   535.98  18.67  Simbad
151.3000   -7.6772  N3115-080  10 05 12.0  -07 40 37.8   807.18  18.70  Simbad
151.3000   -7.6803  N3115-081  10 05 12.0  -07 40 49.0   637.28  18.22  Simbad
151.3004   -7.6975  N3115-082  10 05 12.1  -07 41 50.9   843.88  18.83  Simbad
151.3008   -7.7047  N3115-083  10 05 12.2  -07 42 16.8   590.98  17.53  Simbad
151.3012   -7.7440  N3115-084  10 05 12.3  -07 44 38.4   593.08  18.44  Simbad
151.3037   -7.6120  N3115-085  10 05 12.9  -07 36 43.2   557.38  17.82  Simbad
151.3054   -7.7356  N3115-086  10 05 13.3  -07 44 08.0   288.08  17.88  Simbad
151.3058   -7.7466  N3115-087  10 05 13.4  -07 44 47.9   147.98  18.60  Simbad
