68.9553604 1.0 61.332489 45.5708144 67.5826492 6.0 
85.0347214 2.0 73.7572098 68.1536713 81.0494537 6.0 
103.751503 3.0 90.4727936 82.1640778 98.3160629 6.0 
126.486549 4.0 105.322642 98.8770218 113.84111 6.0 
148.710052 5.0 128.412022 114.325233 135.60582 6.0 
178.022217 6.0 149.341552 136.281265 162.763718 6.0 
203.673904 7.0 176.766037 163.658188 185.730911 6.0 
242.790137 8.0 199.400085 186.548172 220.853502 6.0 
279.388263 9.0 239.841676 220.945068 254.312012 6.0 
338.179429 10.0 267.511444 256.28595 288.249558 6.0 
404.280954 11.0 330.366699 292.304291 355.279022 6.0 
487.757874 12.0 379.209595 357.196106 418.662415 6.0 
