          31.000         141.000          31.000         121.000          21.920          85.560          61.000         121.000
           1.000         131.000          41.000         191.000          28.991         135.057          61.000         141.000
           1.000          91.000          11.000         111.000           7.778          78.489          51.000          91.000
           1.000         111.000          11.000         211.000           7.778         149.200          41.000         151.000
           1.000         151.000          41.000         181.000          28.991         127.986          61.000         131.000
          41.000         221.000          11.000         161.000           7.778         113.844          41.000         111.000
         151.000         391.000          11.000          91.000           7.778          64.347         101.000         181.000
           1.000         171.000          21.000         201.000          14.849         142.128          51.000         111.000
         101.000         191.000           1.000          91.000            .707          64.347          81.000         131.000
           1.000         271.000           1.000         291.000            .707         205.768          61.000         121.000
