 -146.373  104.000   51.000   36.062   83.000     .632    1.000   69.332   27.000     .680
 -143.856   54.000  102.000   72.125   88.000     .611    2.000   88.350   26.000     .449
 -124.954   89.000   12.000    8.485   66.000     .596    3.000  111.397   25.000     .469
 -144.379    1.000   79.000   55.861  100.000     .615    4.000  129.521   27.000     .357
 -159.260    1.000  103.000   72.832   88.000     .599    5.000  142.566   28.000     .669
 -127.239  144.000   88.000   62.225   62.000     .647    6.000  162.459   25.000     .824
 -145.525  253.000   43.000   30.406  127.000     .653    7.000  183.606   26.000    1.471
 -140.185    8.000   94.000   66.468   75.000     .725    8.000  217.459   26.000    1.418
 -144.455  167.000   17.000   12.021   97.000     .787    9.000  248.323   28.000    2.030
 -143.567    1.000  114.000   80.610   83.000     .831   10.000  278.115   28.000    3.063
