   3.6426  -5.4519   705.33      .63     1.00      .00    -4.73     1.00    63.04     7.55      .00
   3.6402  -5.4512   715.42      .64     1.00      .00    -4.85     1.00   -63.30     4.92      .00
   3.6423  -5.4466   857.79      .63     1.00      .00   -10.13     1.00    49.30   -11.51      .00
   3.6422  -5.4456   703.56      .61      .78      .22    -4.49     1.00    44.09   -15.14      .00
   3.6424  -5.4530   621.96      .63      .98      .02    -4.80     1.00    51.96    11.49      .00
   3.6426  -5.4475   619.05      .63     1.00      .00    -4.85     1.00    63.58    -8.31      .00
   3.6425  -5.4493   782.98      .65     1.00      .00    -6.56     1.00    62.19    -1.62      .00
   3.6426  -5.4475   752.96      .63     1.00      .00    -5.65     1.00    62.91    -8.13      .00
   3.6405  -5.4466   728.36      .64     1.00      .00    -5.08     1.00   -45.07   -11.43      .00
   3.6423  -5.4526   593.24      .64     1.00      .00    -5.33     1.00    51.36    10.24      .00
   3.6422  -5.4498   640.20      .68     1.00      .00    -4.54     1.00    45.57     -.07      .00
   3.6405  -5.4496   538.23      .68     1.00      .00    -6.97     1.00   -46.19     -.76      .00
   3.6424  -5.4516   701.82      .65     1.00      .00    -4.67     1.00    54.80     6.40      .00
   3.6422  -5.4536   755.95      .62     1.00      .00    -5.75     1.00    45.33    13.82      .00
   3.6422  -5.4531   770.87      .63     1.00      .00    -6.17     1.00    44.48    11.99      .00
   3.6423  -5.4466   618.03      .63      .99      .01    -4.85     1.00    48.57   -11.61      .00
   3.6424  -5.4493   762.63      .66     1.00      .00    -5.88     1.00    55.10    -1.86      .00
   3.6426  -5.4512   739.50      .64     1.00      .00    -5.30     1.00    63.19     5.05      .00
   3.6423  -5.4534   678.90      .62      .37      .63    -3.55     1.00    50.14    12.87      .00
   3.6405  -5.4534   676.08      .62      .35      .65    -3.47     1.00   -49.31    12.95      .00
   3.6403  -5.4490   642.62      .65     1.00      .00    -4.57     1.00   -60.22    -2.76      .00
   3.6426  -5.4500   699.55      .65     1.00      .00    -4.65     1.00    63.80      .71      .00
   3.6424  -5.4504   709.51      .66     1.00      .00    -4.75     1.00    55.31     2.11      .00
   3.6424  -5.4468   681.03      .63      .41      .59    -3.65     1.00    53.48   -10.70      .00
   3.6426  -5.4506   590.52      .64     1.00      .00    -5.38     1.00    64.09     2.91      .00
   3.6406  -5.4471   585.93      .65     1.00      .00    -5.48     1.00   -44.74    -9.77      .00
   3.6424  -5.4461   576.38      .62     1.00      .00    -5.78     1.00    53.65   -13.43      .00
   3.6403  -5.4480   780.46      .64     1.00      .00    -6.48     1.00   -59.00    -6.57      .00
   3.6423  -5.4495   759.17      .67     1.00      .00    -5.77     1.00    50.90    -1.21      .00
   3.6423  -5.4476   511.59      .65     1.00      .00    -8.18     1.00    50.74    -8.00      .00
   3.6405  -5.4533   902.46      .63     1.00      .00   -13.07     1.00   -47.08    12.54      .00
   3.6427  -5.4493   701.83      .64     1.00      .00    -4.68     1.00    68.42    -1.95      .00
   3.6428  -5.4516   582.81      .63      .94      .06    -5.34     2.00    77.60     6.35      .00
   3.6422  -5.4436   739.48      .58      .59      .41    -4.86     2.00    45.56   -22.37      .00
   3.6429  -5.4480   723.28      .63      .74      .26    -4.89     2.00    83.29    -6.47      .00
   3.6429  -5.4517   773.51      .63      .99      .01    -5.65     2.00    82.26     6.68      .00
   3.6428  -5.4478   713.28      .63      .57      .43    -4.56     2.00    73.34    -7.32      .00
   3.6426  -5.4519   685.46      .63      .45      .55    -4.23     2.00    65.94     7.43      .00
   3.6427  -5.4480   563.26      .63      .97      .03    -5.57     2.00    68.88    -6.37      .00
   3.6404  -5.4541   735.77      .61      .60      .40    -4.80     2.00   -51.06    15.66      .00
   3.6428  -5.4484   550.03      .63     1.00      .00    -5.77     2.00    74.78    -4.97      .00
