           1.000         161.000          21.000         221.000          14.849         156.271          71.000         141.000
           1.000          31.000          21.000         131.000          14.849          92.631          31.000          91.000
           1.000         221.000          31.000         241.000          21.920         170.413          71.000         151.000
           1.000         101.000          21.000         221.000          14.849         156.271          61.000         171.000
           1.000         101.000          71.000         201.000          50.205         142.128          61.000         131.000
           1.000         181.000          31.000         181.000          21.920         127.986          71.000         141.000
           1.000         101.000          61.000         201.000          43.134         142.128          61.000         131.000
           1.000          31.000          21.000         171.000          14.849         120.915          91.000         171.000
           1.000         171.000          11.000         281.000           7.778         198.697          81.000         151.000
           1.000         251.000           1.000         201.000            .707         142.128          71.000         121.000
           1.000         121.000          11.000         141.000           7.778          99.702          61.000          81.000
           1.000         181.000          11.000         251.000           7.778         177.484          81.000         151.000
